category,Users,Volume,Transactions
1595462400000,170,170,170
1595376000000,156,156,156
1595289600000,143,143,143
1595203200000,103,103,103
1595116800000,150,150,150
1595030400000,202,202,202
1594944000000,182,182,182
1594857600000,188,188,188
1594771200000,166,166,166
1594684800000,235,235,235
1594598400000,233,233,233
1594512000000,352,352,352
1594425600000,466,466,466
1594339200000,580,580,580
1594252800000,716,716,716
1594166400000,985,985,985
1594080000000,921,921,921
1593993600000,481,481,481
1593907200000,102,102,102
1593820800000,93,93,93
1593734400000,55,55,55
1593648000000,78,78,78
1593561600000,49,49,49
1593475200000,44,44,44
1593388800000,55,55,55
1593302400000,66,66,66
1593216000000,61,61,61
1593129600000,73,73,73
1593043200000,69,69,69
1592956800000,64,64,64
1592870400000,65,65,65
1592784000000,57,57,57
1592697600000,108,108,108
1592611200000,134,134,134
1592524800000,70,70,70
1592438400000,71,71,71
1592352000000,73,73,73
1592265600000,72,72,72
1592179200000,61,61,61
1592092800000,95,95,95
1592006400000,103,103,103
1591920000000,73,73,73
1591833600000,72,72,72
1591747200000,53,53,53
1591660800000,56,56,56
1591574400000,68,68,68
1591488000000,96,96,96
1591401600000,78,78,78
1591315200000,82,82,82
1591228800000,82,82,82
1591142400000,71,71,71
1591056000000,74,74,74
1590969600000,76,76,76
1590883200000,69,69,69
1590796800000,60,60,60
1590710400000,129,129,129
1590624000000,57,57,57
1590537600000,59,59,59
1590451200000,145,145,145
1590364800000,43,43,43
1590278400000,68,68,68
1590192000000,107,107,107
1590105600000,74,74,74
1590019200000,23,23,23
1589932800000,106,106,106
1589846400000,122,122,122
1589760000000,73,73,73
1589673600000,139,139,139
1589587200000,143,143,143
1589500800000,92,92,92
1589414400000,55,55,55
1589328000000,79,79,79
1589241600000,93,93,93
1589155200000,119,119,119
1589068800000,90,90,90
1588982400000,141,141,141
1588896000000,118,118,118
1588809600000,100,100,100
1588723200000,137,137,137
1588636800000,151,151,151
1588550400000,152,152,152
1588464000000,163,163,163
1588377600000,179,179,179
1588291200000,133,133,133
1588204800000,127,127,127
1588118400000,117,117,117
1588032000000,163,163,163
1587945600000,172,172,172
1587859200000,176,176,176
1587772800000,133,133,133
1587686400000,152,152,152
1587600000000,142,142,142
1587513600000,144,144,144
1587427200000,133,133,133
1587340800000,152,152,152
1587254400000,131,131,131
1587168000000,150,150,150
