txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice,withPriceUsd
0x2d49b6d8f7652c8283af11172aadf7222f97628fb589e3b86cd9009bccc1477d,552898,https://storage.googleapis.com/assets.axieinfinity.com/axies/552898/axie/axie-full-transparent.png,Bird,ronin,Axie #552898,1622795538,Normal,16136,Aquatic,18973,Bird,4,,3,1,37,48,35,44,0x39d835446cd7908e41a4711c52c7e3d48d67be9d,0x4d0bbc5b97374a6aaed78d91a1b40853b27f4413,1632418122,0.040999997,128.48836250000002
0x86fd39a8e52a97da91735a7c97476380c8fb7b328e49fa14865d69230ae9bea5,552898,https://storage.googleapis.com/assets.axieinfinity.com/axies/552898/axie/axie-full-transparent.png,Bird,ronin,Axie #552898,1622795538,Normal,16136,Aquatic,18973,Bird,4,,3,1,37,48,35,44,0xccd64493ffe994758e913a7f5ea34d47b77d5466,0x39d835446cd7908e41a4711c52c7e3d48d67be9d,1631621920,0.04601198,144.19521606119793
0xbacfd79bb408674adf89db6bba5e20c0627f14fcc687de1e8227bf4d9fac8688,2503139,https://storage.googleapis.com/assets.axieinfinity.com/axies/2503139/axie/axie-full-transparent.png,Beast,ronin,collector's item,1626786451,Normal,30965,Beast,28591,Beast,4,,2,1,34,45,31,54,0xd22b005033c53739f760d1216af7ec1212edddd8,0x024452283f513abb4c3aa04d3381a67496cd82bf,1629840366,0.09,282.047625
0xe62ee03c53acccbd223cd05310680aa30387d2a751ae0ee9f83c83eb56618a3b,2503139,https://storage.googleapis.com/assets.axieinfinity.com/axies/2503139/axie/axie-full-transparent.png,Beast,ronin,collector's item,1626786451,Normal,30965,Beast,28591,Beast,4,,2,1,34,45,31,54,0x458ee39f40946795e3b83076ed41443ed53d4094,0x6e60d9b2c1f7f4579f58a915d94f219340f81e5b,1627276998,0.186,582.898425
0x275c2f0c5a712ea2c4cae16872cb40f5358b22e3dd7f880b09141a5939fe8b8f,2503139,https://storage.googleapis.com/assets.axieinfinity.com/axies/2503139/axie/axie-full-transparent.png,Beast,ronin,collector's item,1626786451,Normal,30965,Beast,28591,Beast,4,,2,1,34,45,31,54,0x525a3e83f6687f857d77c1b29a7412246827958a,0x458ee39f40946795e3b83076ed41443ed53d4094,1627275059,0.19909665,623.9415049985533
0xb323ec0a300dadec1519e5d46a04ed9c3c782c3755739e179301f7176aae37ee,4369123,https://storage.googleapis.com/assets.axieinfinity.com/axies/4369123/axie/axie-full-transparent.png,Aquatic,ronin,🅾🆁🅸🅶🅸🅽,1629113078,Normal,53947,Aquatic,1000,Aquatic,4,,0,1,44,55,35,30,0x486916bacf0045f2b9dca9f8970150e86327ab8e,0x661d382ee63697fae2dad47b08c260c38b2bcdd9,1631738324,0.05,156.693125
0x5fcf598796a53bd5b7cd3531c30db0e402f02f946254bb4fc187885c300bba4f,4911392,https://storage.googleapis.com/assets.axieinfinity.com/axies/4911392/axie/axie-full-transparent.png,Bug,ronin,Garish + Fish Snack! #1 PVP,1629808285,Normal,14403,Bug,14039,Bug,4,,3,1,41,31,35,57,0x565e308e3654b1bb6a06c357dfb0231aa8a3f65a,0x6efa0335d2e391cf66d8c86f16586defc16a59a5,1631041503,0.13949,437.142480125
0x9ce73d284c1dc8041ff96792aeb400cb826134937788d9462cdedb154c707751,4911392,https://storage.googleapis.com/assets.axieinfinity.com/axies/4911392/axie/axie-full-transparent.png,Bug,ronin,Garish + Fish Snack! #1 PVP,1629808285,Normal,14403,Bug,14039,Bug,4,,3,1,41,31,35,57,0x1073c7ef83d35aae538f106f690bf10af168881c,0x565e308e3654b1bb6a06c357dfb0231aa8a3f65a,1630377650,0.09847222,308.5984045138889
0xb3366ac6ac0b9546d8bf0686a7951566d656ef0717f22aa07db3db5df0574c9d,4687521,https://storage.googleapis.com/assets.axieinfinity.com/axies/4687521/axie/axie-full-transparent.png,Reptile,ronin,Mid line wall,1629476966,Fuzzy,48453,Reptile,54656,Reptile,4,,3,1,55,39,31,39,0xc0042776eeec71d950ea1d5000ba9e21352e4dc9,0x7b809ee581afde7866c24a001ab11b28057d02c7,1631106670,0.1,313.38625
0xcd7d096c09c20c29908934b27c31b6e0dfb272c2daa48188a4a013d47113d3c3,5349094,https://storage.googleapis.com/assets.axieinfinity.com/axies/5349094/axie/axie-full-transparent.png,Aquatic,ronin,Anti Terminator Aqua,1630445796,Normal,6406,Aquatic,11323,Aquatic,4,,3,1,44,57,35,28,0x8979561fa8e9d8b7952f212aa709d5ee46976c88,0x8613041fa0f4b2ad3f8dc07abe8ca8d7529ca4a5,1631608051,0.1181375,370.22668109375
0x66377c5b80936c39c60963789acc26f93067962d757e54664d6e4ca45b3fbcbf,5349094,https://storage.googleapis.com/assets.axieinfinity.com/axies/5349094/axie/axie-full-transparent.png,Aquatic,ronin,Anti Terminator Aqua,1630445796,Normal,6406,Aquatic,11323,Aquatic,4,,3,1,44,57,35,28,0x4049f44a6c3d5552c0be7a7e9f7e212941fe567b,0x8979561fa8e9d8b7952f212aa709d5ee46976c88,1631181390,0.14545313,455.8300939453125
0x8a2c56e49d4b5bcc8f9fd67b9320f5906c3596b47afb830eea15f86cd071b3c3,5574436,https://storage.googleapis.com/assets.axieinfinity.com/axies/5574436/axie/axie-full-transparent.png,Dusk,ronin,d2,1630851687,BigYak,14313,Dusk,14336,Dusk,4,,5,1,55,48,27,34,0x6ddde0ff7ced75ad898089029d27e49ee5eceeed,0x890f1e72b260c0fec3f046db9b9b1e7450d54e58,1632346961,0.39949,1251.9467301250002
0xc4af8420b6123241244f1bf1ff8f3e58c782e9e4423a4126d06e52642914456f,5574436,https://storage.googleapis.com/assets.axieinfinity.com/axies/5574436/axie/axie-full-transparent.png,Dusk,ronin,d2,1630851687,BigYak,14313,Dusk,14336,Dusk,4,,5,1,55,48,27,34,0x898bf59a12feb67949fe036eb6a1975ab31ac9fb,0x6ddde0ff7ced75ad898089029d27e49ee5eceeed,1631717129,0.2811821,881.186034992284
0xfd64e7e60f24ab72db2da8fb2eb34b9a82895f8c94eefa2e8b6c3cc063d3abf2,367884,https://storage.googleapis.com/assets.axieinfinity.com/axies/367884/axie/axie-full-transparent.png,Bug,ronin,Axie #367884,1621372578,Normal,6379,Bug,6226,Reptile,4,,3,1,47,42,35,40,0xdadd3195416af275b578651149826d34ed46b7e4,0x0c3ebce4bfe8d172efea45f9973a5492b2214e6c,1632414360,0.042,131.62222500000001
0x75ff5c13cc6c630cafa7a6c3d628bd5444b7ad16a98234abe24e0bf9fda3b105,367884,https://storage.googleapis.com/assets.axieinfinity.com/axies/367884/axie/axie-full-transparent.png,Bug,ronin,Axie #367884,1621372578,Normal,6379,Bug,6226,Reptile,4,,3,1,47,42,35,40,0x27ebafbab855c2eb41477b1dd56cab0e637c7670,0x1eb33eba3f0421e61e627a2e952c74301f05da45,1622081456,0.04440375,139.155246984375
0xd9eecc39f5c630f365096f46740460fe4c9b1c1455b5e2c3c03a5d95f8db44cc,367884,https://storage.googleapis.com/assets.axieinfinity.com/axies/367884/axie/axie-full-transparent.png,Bug,ronin,Axie #367884,1621372578,Normal,6379,Bug,6226,Reptile,4,,3,1,47,42,35,40,0x0e86befb664bdb0ee91a4ceb3ae18c7e65070da3,0x27ebafbab855c2eb41477b1dd56cab0e637c7670,1621380840,0.030995626,97.1360268515625
